aug_bets,aug_roi,bets,ev_max,ev_min,family,hit_rate,hits,l1,l2,largest,max_odds,maxdd,min_odds,profit,ranks,roi,selector,sep_bets,sep_l1,sep_roi
1928,98.02385892116183,2508,,,fixed_ranks,5.143540669856459,129,83.99680893498206,77.51396648044692,28600.0,,49370.0,,-11620.0,"1,4,5,7",95.36682615629984,,580,59.740932642487046,86.53448275862068
1928,103.45435684647303,2508,,,fixed_ranks,4.704944178628389,118,83.01156761069007,76.52833200319233,28600.0,,43870.0,,-14090.0,"2,4,5,7",94.38197767145135,,580,37.392055267702936,64.22413793103448
2410,96.30290456431536,3135,,,fixed_ranks,5.1355661881977674,161,82.04530950861519,76.85924034471752,28600.0,,53870.0,,-27770.0,"1,2,4,5,7",91.14194577352472,,725,52.5414364640884,73.98620689655172
1928,102.37551867219916,2508,,,fixed_ranks,4.30622009569378,108,83.89309932189869,77.41021548284118,28600.0,,41360.0,,-11880.0,"3,4,5,7",95.26315789473684,,580,44.8013816925734,71.62068965517241
2410,95.43983402489627,3135,,,fixed_ranks,4.81658692185008,151,82.75047862156988,77.5646345355889,28600.0,,51760.0,,-25560.0,"1,3,4,5,7",91.8468899521531,,725,58.466850828729285,79.90344827586208
2410,99.78423236514523,3135,,,fixed_ranks,4.4657097288676235,140,81.96234843650288,76.7762527928503,28600.0,,50210.0,,-28030.0,"2,3,4,5,7",91.05901116427432,,725,40.5939226519337,62.0551724137931
2892,94.43637621023512,3762,,,fixed_ranks,4.8644338118022326,183,81.33209252858282,77.01063829787235,28600.0,,60070.0,,-41710.0,"1,2,3,4,5,7",88.91281233386496,,870,52.681242807825086,70.55172413793103
964,53.63070539419087,1254,,,fixed_ranks,3.269537480063796,41,50.103750997605744,44.712460063897765,7500.0,,55120.0,,-55120.0,"6,7",56.04465709728868,,290,45.155709342560556,64.06896551724138
1446,58.3195020746888,1881,,,fixed_ranks,4.4657097288676235,84,59.46808510638298,55.88078765300692,7500.0,,69420.0,,-68800.0,"1,6,7",63.42371079213184,,435,67.83410138248848,80.39080459770115
1446,65.56016597510373,1881,,,fixed_ranks,3.880914407230197,73,56.590425531914896,52.629058009579566,10440.0,,71270.0,,-71270.0,"2,6,7",62.110579479000535,,435,38.0184331797235,50.64367816091954
1928,66.09439834024896,2508,,,fixed_ranks,4.625199362041467,116,61.99042680494615,59.022346368715084,10440.0,,84950.0,,-84950.0,"1,2,6,7",66.12838915470495,,580,56.80483592400691,66.24137931034483
1446,64.12171507607192,1881,,,fixed_ranks,3.349282296650718,63,57.712765957446805,53.75199574241618,10540.0,,69060.0,,-69060.0,"3,6,7",63.28548644338118,,435,47.903225806451616,60.50574712643678
1928,65.0155601659751,2508,,,fixed_ranks,4.226475279106858,106,62.8320702034304,59.864325618515565,10540.0,,82740.0,,-82740.0,"1,3,6,7",67.00956937799043,,580,64.21416234887738,73.63793103448276
1928,70.4460580912863,2508,,,fixed_ranks,3.787878787878788,95,61.846828879138414,57.70550678371907,10540.0,,85210.0,,-85210.0,"2,3,6,7",66.02472089314195,,580,41.865284974093264,51.327586206896555
2410,69.89626556016597,3135,,,fixed_ranks,4.401913875598086,138,65.1148691767709,61.80338333865305,10540.0,,98890.0,,-98890.0,"1,2,3,6,7",68.45614035087719,,725,56.11878453038674,63.66896551724138
1446,77.73167358229598,1881,,,fixed_ranks,3.6150983519404574,68,70.32978723404256,62.064928153273016,16330.0,,52940.0,,-39550.0,"4,6,7",78.9739500265816,,435,47.35023041474654,83.10344827586206
1928,75.22302904564316,2508,,,fixed_ranks,4.425837320574162,111,72.29357798165138,66.09736632083,16330.0,,63540.0,,-53230.0,"1,4,6,7",78.77591706539074,,580,63.799654576856646,90.58620689655173
1928,80.65352697095436,2508,,,fixed_ranks,3.9872408293460926,100,71.30833665735939,65.11173184357541,16330.0,,62200.0,,-55700.0,"2,4,6,7",77.79106858054226,,580,41.45077720207254,68.27586206896552
2410,78.06224066390041,3135,,,fixed_ranks,4.56140350877193,143,72.68347160178685,67.72741781040536,16330.0,,72460.0,,-69380.0,"1,2,4,6,7",77.86921850079744,,725,55.78729281767956,77.22758620689655
1928,79.5746887966805,2508,,,fixed_ranks,3.588516746411483,90,72.18986836856801,65.99361532322426,16330.0,,57290.0,,-53490.0,"3,4,6,7",78.67224880382776,,580,48.86010362694301,75.67241379310344
2410,77.19917012448133,3135,,,fixed_ranks,4.242424242424242,133,73.38864071474154,68.43281200127673,16330.0,,67550.0,,-67170.0,"1,3,4,6,7",78.57416267942584,,725,61.71270718232044,83.1448275862069
2410,81.54356846473028,3135,,,fixed_ranks,3.8915470494417863,122,72.60051052967454,67.64443025853814,16330.0,,69640.0,,-69640.0,"2,3,4,6,7",77.78628389154704,,725,43.83977900552486,65.29655172413793
2892,79.23582295988935,3762,,,fixed_ranks,4.385964912280702,165,73.53097580430736,69.40159574468085,16330.0,,83320.0,,-83320.0,"1,2,3,4,6,7",77.8522062732589,,870,55.385500575373996,73.25287356321839
1446,91.36237897648687,1881,,,fixed_ranks,4.518872939925571,85,70.6436170212766,66.58861096327834,28600.0,,48150.0,,-26690.0,"5,6,7",85.8107389686337,,435,54.76958525345622,67.35632183908046
1928,85.4460580912863,2508,,,fixed_ranks,5.103668261562999,128,72.52891902672516,69.48922585794094,28600.0,,59700.0,,-40370.0,"1,5,6,7",83.90350877192982,,580,69.36096718480138,78.77586206896552
1928,90.8765560165975,2508,,,fixed_ranks,4.6650717703349285,117,71.54367770243319,67.40622505985634,28600.0,,59400.0,,-42840.0,"2,5,6,7",82.91866028708134,,580,47.01208981001727,56.46551724137931
2410,86.24066390041494,3135,,,fixed_ranks,5.103668261562999,160,72.8717294192725,69.5627194382381,28600.0,,70930.0,,-56520.0,"1,2,5,6,7",81.97129186602871,,725,60.23480662983425,67.77931034482759
1928,89.79771784232365,2508,,,fixed_ranks,4.2663476874003186,107,72.42520941364181,68.24820430965683,28600.0,,54490.0,,-40630.0,"3,5,6,7",83.79984051036682,,580,54.42141623488774,63.86206896551724
2410,85.37759336099585,3135,,,fixed_ranks,4.784688995215311,150,73.57689853222719,70.23619533992978,28600.0,,67880.0,,-54310.0,"1,3,5,6,7",82.6762360446571,,725,66.16022099447514,73.69655172413793
2410,89.72199170124482,3135,,,fixed_ranks,4.433811802232855,139,72.78876834716017,69.44781359719119,28600.0,,65870.0,,-56780.0,"2,3,5,6,7",81.8883572567783,,725,48.28729281767956,55.84827586206897
2892,86.05117565698478,3762,,,fixed_ranks,4.837852206273259,182,73.68784897633608,70.90425531914893,28600.0,,79850.0,,-70460.0,"1,2,3,5,6,7",81.27060074428495,,870,59.09090909090909,65.37931034482759
1928,100.0051867219917,2508,,,fixed_ranks,4.4657097288676235,112,84.1962504986039,77.71348762968874,28600.0,,50090.0,,-11120.0,"4,5,6,7",95.56618819776715,,580,54.00690846286701,80.8103448275862
2410,93.54356846473028,3135,,,fixed_ranks,4.944178628389155,155,82.99298021697511,77.80721353335461,28600.0,,61670.0,,-24800.0,"1,4,5,6,7",92.08931419457736,,725,65.82872928176796,87.2551724137931
2410,97.88796680497926,3135,,,fixed_ranks,4.5933014354066986,144,82.20485003190811,77.01883179061602,28600.0,,61340.0,,-27270.0,"2,4,5,6,7",91.30143540669856,,725,47.95580110497237,69.40689655172413
2892,92.85615491009682,3762,,,fixed_ranks,4.970760233918129,187,81.53416644509439,77.2127659574468,28600.0,,71200.0,,-40950.0,"1,2,4,5,6,7",89.11483253588517,,870,58.81472957422324,76.67816091954023
2410,97.02489626556017,3135,,,fixed_ranks,4.274322169059011,134,82.9100191448628,77.7242259814874,28600.0,,56430.0,,-25060.0,"3,4,5,6,7",92.00637958532695,,725,53.88121546961326,75.32413793103449
2892,92.13692946058092,3762,,,fixed_ranks,4.704944178628389,177,82.12177612337145,77.80053191489361,28600.0,,66290.0,,-38740.0,"1,3,4,5,6,7",89.7022860180755,,870,63.75143843498274,81.60919540229885
2892,95.75726141078839,3762,,,fixed_ranks,4.412546517809676,166,81.46503589470885,77.1436170212766,28600.0,,67680.0,,-41210.0,"2,3,4,5,6,7",89.04572036150984,,870,48.860759493670884,66.73563218390805
3374,91.74866627148785,4389,,,fixed_ranks,4.761904761904762,209,80.99589790337284,77.29199908821518,28600.0,,77560.0,,-54890.0,"1,2,3,4,5,6,7",87.4937343358396,,1015,58.03747534516765,73.34975369458128
482,45.809128630705395,627,,,fixed_ranks,3.0303030303030303,19,57.460063897763575,46.544,7220.0,,32060.0,,-19510.0,8,68.88357256778309,,145,96.45833333333333,145.58620689655172
964,56.75311203319502,1254,,,fixed_ranks,4.944178628389155,62,67.829209896249,62.38817891373802,7220.0,,48270.0,,-33190.0,"1,8",73.53269537480064,,290,104.77508650519032,129.31034482758622
964,67.61410788381743,1254,,,fixed_ranks,4.0669856459330145,51,63.28810853950519,57.57188498402556,10440.0,,42160.0,,-35660.0,"2,8",71.56299840510367,,290,60.0,84.6896551724138
1446,67.6417704011065,1881,,,fixed_ranks,4.9973418394471025,94,68.25531914893617,64.44917509313464,10440.0,,57570.0,,-49340.0,"1,2,8",73.7692716640085,,435,77.71889400921658,94.13793103448276
964,65.45643153526972,1254,,,fixed_ranks,3.269537480063796,41,64.97206703910615,59.257188498402556,10540.0,,43640.0,,-33450.0,"3,8",73.32535885167464,,290,74.84429065743944,99.48275862068965
1446,66.20331950207469,1881,,,fixed_ranks,4.4657097288676235,84,69.37765957446808,65.57211282597126,10540.0,,58660.0,,-47130.0,"1,3,8",74.94417862838915,,435,87.6036866359447,104.0
