race_code,date,result,selected,rank,odds,p,ev,hit,payout,lead_min
202608251504,2026-08-25,3-5-1,1-3-4,4,105.2,0.0478565095339493,5.034504802971466,False,0,9.564283016666668
202608251505,2026-08-25,5-1-4,5-6-3,8,807.1,0.01839208020851252,14.844247936290456,False,0,8.4507626
202608251706,2026-08-25,2-3-1,1-3-2,2,37.9,0.06011895549239839,2.278508413161899,False,0,9.333952116666667
202608251806,2026-08-25,2-1-6,1-2-5,6,72.3,0.04190740321558844,3.029905252487044,False,0,9.4762
202608251811,2026-08-25,2-1-3,1-4-2,10,150.0,0.03129044063773608,4.693566095660413,False,0,8.473207616666667
202608252008,2026-08-25,6-3-4,2-1-6,9,83.7,0.0336613152585612,2.8174520871415725,False,0,8.420020433333333
202608252011,2026-08-25,1-3-5,2-1-4,3,94.4,0.05558739410818721,5.247450003812872,False,0,9.11681095
202608252203,2026-08-25,2-3-4,1-3-6,6,137.9,0.04144251462328223,5.71492276655062,False,0,9.451946416666667
202608252204,2026-08-25,2-4-6,1-2-5,6,120.0,0.04472675819752243,5.367210983702691,False,0,8.471875266666666
202608260107,2026-08-26,2-1-4,2-1-3,10,125.6,0.030091516289165423,3.779494445919177,False,0,9.561075716666666
202608260308,2026-08-26,3-5-1,5-6-2,6,528.7,0.021352046658928484,11.288827068575491,False,0,9.3089156
202608260806,2026-08-26,4-6-2,5-4-1,1,367.6,0.03173589531828525,11.66611511900166,False,0,9.250564316666667
202608260808,2026-08-26,2-1-6,2-3-1,3,119.3,0.05555317050014488,6.627493240667285,False,0,8.506986183333334
202608260810,2026-08-26,1-3-4,3-1-6,9,156.5,0.03323384492335629,5.20109673050526,False,0,9.582984083333335
202608260811,2026-08-26,1-3-5,2-1-3,2,83.6,0.05263192317584178,4.400028777500372,False,0,9.229868066666667
202608260910,2026-08-26,1-3-2,2-1-3,5,65.4,0.04450334204342973,2.910518569640305,False,0,8.381889566666667
202608261002,2026-08-26,1-2-4,2-1-6,9,230.6,0.033661341312203615,7.762305306594153,False,0,9.396941183333333
202608261003,2026-08-26,3-2-4,3-1-5,2,120.7,0.0591092387146511,7.134485112858387,False,0,9.1744631
202608261008,2026-08-26,2-3-1,2-3-6,9,226.1,0.03630854890001184,8.209362906292677,False,0,8.477008766666666
202608261301,2026-08-26,2-1-3,2-1-3,5,70.4,0.044503354114963596,3.1330361296934375,True,7690.0,8.387011716666667
202608261406,2026-08-26,3-2-4,1-3-2,2,59.1,0.06011894696101723,3.5530297653961185,False,0,8.315944499999999
202608261407,2026-08-26,2-4-3,1-3-2,2,86.3,0.05948375944522806,5.133448440123181,False,0,8.256882416666667
202608261408,2026-08-26,3-1-2,3-1-5,2,35.2,0.055293141077517836,1.946318565928628,False,0,8.439318583333334
